,arclength loc,x_2D,y_2D,tangent_x,tangent_y,normal_x,normal_y
71,71,142.02589594298675,1875.4530322906364,1,-3.091787083109034,0.951470117075681,0.30774115147635045
72,72,142.3336622504012,1874.5015703103027,1,-3.091228741219082,0.9514538404848204,0.3077914706854069
73,73,142.64147889924823,1873.5501246152194,1,-3.090670079251443,0.9514375465701775,0.3078418343508909
74,74,142.9493459340129,1872.5986952227233,1,-3.0901110969421888,0.9514212353052044,0.3078922425302704
75,75,143.25726339923804,1871.6472821501784,1,-3.089551794027097,0.9514049066633007,0.30794269528111246
76,76,143.56523133952382,1870.6958854149748,1,-3.0889921702416445,0.9513885606178124,0.3079931926610832
77,77,143.87324979952822,1869.7445050345293,1,-3.0884322253210055,0.951372197142032,0.30804373472794866
78,78,144.1813188239672,1868.7931410262859,1,-3.0878719590000565,0.9513558162091981,0.3080943215395741
79,79,144.48943845761423,1867.8417934077147,1,-3.0873113710133713,0.951339417792496,0.3081449531539252
80,80,144.79760874530132,1866.8904621963131,1,-3.086750461095222,0.9513230018650566,0.30819562962906755
81,81,145.10582973191833,1865.9391474096053,1,-3.0861892289795794,0.9513065683999571,0.30824635102316716
82,82,145.41410146241319,1864.9878490651424,1,-3.0856276744001105,0.9512901173702203,0.30829711739449067
83,83,145.7224239817924,1864.0365671805027,1,-3.085065797090182,0.9512736487488148,0.3083479288014055
84,84,146.03079733512075,1863.0853017732913,1,-3.0845035967828527,0.9512571625086543,0.3083987853023802
85,85,146.33922156752158,1862.1340528611406,1,-3.083941073210883,0.9512406586225985,0.3084496869559841
86,86,146.64769672417677,1861.18282046171,1,-3.083378226106725,0.9512241370634524,0.30850063382088877
87,87,146.95622285032718,1860.2316045926862,1,-3.0828150552025275,0.9512075978039656,0.30855162595586694
88,88,147.2647999912722,1859.2804052717831,1,-3.0822515602301324,0.9511910408168328,0.3086026634197935
89,89,147.57342819237022,1858.3292225167424,1,-3.081687740921079,0.9511744660746938,0.30865374627164505
90,90,147.88210749903868,1857.3780563453324,1,-3.081123597006598,0.9511578735501333,0.30870487457050116
91,91,148.1908379567543,1856.4269067753496,1,-3.0805591282176135,0.9511412632156798,0.30875604837554355
92,92,148.49961961105282,1855.4757738246174,1,-3.0799943342847436,0.951124635043807,0.3088072677460569
93,93,148.80845250752935,1854.524657510987,1,-3.079429214938297,0.9511079890069327,0.3088585327414289
94,94,149.11733669183857,1853.5735578523372,1,-3.0788637699082773,0.9510913250774188,0.3089098434211504
95,95,149.42627220969462,1852.6224748665747,1,-3.0782979989243757,0.9510746432275712,0.30896119984481596
96,96,149.73525910687124,1851.6714085716335,1,-3.0777319017159788,0.9510579434296397,0.3090126020721235
97,97,150.044297429202,1850.7203589854757,1,-3.07716547801216,0.9510412256558176,0.309064050162875
98,98,150.35338722258018,1849.769326126091,1,-3.076598727541684,0.9510244898782426,0.309115544176977
99,99,150.66252853295933,1848.8183100114973,1,-3.0760316500330056,0.9510077360689948,0.30916708417443967
100,100,150.97172140635269,1847.86731065974,1,-3.075464245214268,0.9509909642000984,0.3092186702153784
101,101,151.2809658888339,1846.916328088893,1,-3.074896512813304,0.9509741742435207,0.3092703023600132
102,102,151.59026202653672,1845.9653623170577,1,-3.074328452557634,0.9509573661711714,0.30932198066866895
103,103,151.89960986565552,1845.0144133623644,1,-3.0737600641744653,0.950940539954904,0.30937370520177626
104,104,152.20900945244492,1844.0634812429707,1,-3.073191347390693,0.950923695566514,0.309425476019871
105,105,152.51846083322027,1843.112565977063,1,-3.0726223019329004,0.95090683297774,0.30947729318359474
106,106,152.8279640543576,1842.161667582856,1,-3.072052927527354,0.9508899521602625,0.3095291567536952
107,107,153.13751916229361,1841.2107860785923,1,-3.0714832239000085,0.9508730530857052,0.30958106679102626
108,108,153.44712620352593,1840.2599214825432,1,-3.070913190776503,0.950856135725633,0.3096330233565482
109,109,153.75678522461354,1839.3090738130088,1,-3.070342827882161,0.9508392000515532,0.3096850265113281
110,110,154.066496272176,1838.358243088317,1,-3.0697721349419913,0.9508222460349157,0.30973707631654007
111,111,154.37625939289464,1837.407429326825,1,-3.0692011116806865,0.950805273647111,0.30978917283346497
112,112,154.6860746335116,1836.456632546918,1,-3.068629757822621,0.9507882828594716,0.30984131612349136
113,113,154.99594204083084,1835.5058527670103,1,-3.068058073091854,0.9507712736432717,0.30989350624811557
114,114,155.30586166171776,1834.555090005545,1,-3.0674860572121267,0.9507542459697267,0.3099457432689413
115,115,155.6158335430994,1833.6043442809937,1,-3.0669137099068604,0.9507371998099928,0.30999802724768083
116,116,155.92585773196458,1832.653615611857,1,-3.066341030899159,0.9507201351351675,0.3100503582461546
117,117,156.2359342753639,1831.7029040166644,1,-3.065768019911809,0.950703051916289,0.31010273632629165
118,118,156.54606322041016,1830.7522095139748,1,-3.0651946766672746,0.9506859501243367,0.3101551615501299
119,119,156.8562446142781,1829.8015321223754,1,-3.064621000887701,0.9506688297302297,0.3102076339798161
120,120,157.1664785042046,1828.8508718604833,1,-3.0640469922949127,0.950651690704828,0.3102601536776066
121,121,157.47676493748907,1827.900228746944,1,-3.063472650610415,0.9506345330189317,0.310312720705867
122,122,157.78710396149322,1826.949602800433,1,-3.062897975555387,0.9506173566432814,0.3103653351270731
123,123,158.09749562364098,1825.9989940396545,1,-3.0623229668506915,0.950600161548557,0.3104179970038102
124,124,158.40793997141955,1825.0484024833422,1,-3.061747624216864,0.9505829477053783,0.31047070639877417
125,125,158.71843705237845,1824.0978281502594,1,-3.061171947374121,0.9505657150843054,0.31052346337477144
126,126,159.02898691413012,1823.1472710591986,1,-3.0605959360423514,0.9505484636558373,0.31057626799471905
127,127,159.33958960435012,1822.1967312289821,1,-3.0600195899411213,0.9505311933904121,0.31062912032164525
128,128,159.65024517077686,1821.2462086784615,1,-3.0594429087896753,0.9505139042584076,0.31068202041868914
129,129,159.96095366121222,1820.2957034265185,1,-3.0588658923069296,0.9504965962301406,0.31073496834910175
130,130,160.27171512352106,1819.345215492064,1,-3.058288540211476,0.9504792692758663,0.3107879641762455
131,131,160.58252960563206,1818.394744894039,1,-3.0577108522215792,0.9504619233657791,0.3108410079635951
132,132,160.893397155537,1817.444291651414,1,-3.0571328280551793,0.9504445584700117,0.3108940997747373
133,133,161.20431782129154,1816.49385578319,1,-3.056554467429889,0.9504271745586355,0.3109472396733713
134,134,161.51529165101522,1815.5434373083974,1,-3.0559757700629904,0.9504097716016595,0.3110004277233093
135,135,161.82631869289114,1814.593036246097,1,-3.0553967356714398,0.9503923495690315,0.31105366398847634
136,136,162.1373989951667,1813.6426526153793,1,-3.054817363971868,0.9503749084306367,0.31110694853291027
137,137,162.448532606153,1812.6922864353653,1,-3.054237654680572,0.9503574481562984,0.3111602814207632
138,138,162.75971957422576,1811.7419377252058,1,-3.053657607513519,0.9503399687157775,0.3112136627163006
139,139,163.07095994782483,1810.7916065040824,1,-3.05307722218635,0.9503224700787718,0.31126709248390155
140,140,163.38225377545456,1809.8412927912068,1,-3.0524964984143725,0.9503049522149174,0.31132057078806014
141,141,163.6936011056836,1808.8909966058209,1,-3.0519154359125644,0.9502874150937866,0.31137409769338437
142,142,164.00500198714565,1807.940717967197,1,-3.0513340343955697,0.9502698586848892,0.31142767326459736
143,143,164.316456468539,1806.9904568946386,1,-3.0507522935777027,0.9502522829576714,0.3114812975665369
144,144,164.6279645986266,1806.0402134074789,1,-3.050170213172944,0.9502346878815165,0.31153497066415636
145,145,164.9395264262371,1805.0899875250825,1,-3.0495877928949406,0.9502170734257441,0.3115886926225243
146,146,165.2511420002634,1804.1397792668442,1,-3.0490050324570057,0.95019943955961,0.31164246350682556
147,147,165.56281136966442,1803.18958865219,1,-3.048421931572119,0.9501817862523061,0.3116962833823606
148,148,165.87453458346369,1802.239415700576,1,-3.0478384899529267,0.9501641134729607,0.31175015231454595
149,149,166.1863116907511,1801.2892604314902,1,-3.047254707311735,0.9501464211906376,0.3118040703689156
150,150,166.49814274068132,1800.339122864451,1,-3.0466705833605197,0.9501287093743361,0.31185803761111947
151,151,166.81002778247506,1799.3890030190075,1,-3.046086117810917,0.9501109779929914,0.31191205410692485
152,152,167.12196686541913,1798.4389009147408,1,-3.0455013103742266,0.9500932270154742,0.31196611992221673
153,153,167.43396003886556,1797.4888165712623,1,-3.0449161607614132,0.9500754564105892,0.3120202351229969
154,154,167.74600735223336,1796.5387500082154,1,-3.0443306686831,0.9500576661470779,0.312074399775386
155,155,168.0581088550069,1795.588701245274,1,-3.0437448338495736,0.950039856193615,0.312128613945622
156,156,168.37026459673743,1794.638670302144,1,-3.043158655970783,0.9500220265188111,0.31218287770006165
157,157,168.68247462704224,1793.6886571985622,1,-3.042572134756334,0.95000417709121,0.31223719110518033
158,158,168.99473899560527,1792.7386619542972,1,-3.041985269915496,0.9499863078792912,0.3122915542275722
159,159,169.30705775217737,1791.7886845891494,1,-3.041398061157196,0.9499684188514673,0.31234596713395085
160,160,169.61943094657568,1790.8387251229503,1,-3.04081050819002,0.9499505099760855,0.3124004298911491
