,arclength loc,x2D,y2D,tangentX,tangentY,normalX,normalY
2412,2412,1719.074186671258,539.0552516184451,1,1.0006020986581339,0.7073195591091659,-0.7068939392169205
2413,2413,1719.7807082593079,539.7629431088699,1,1.0027096458870495,0.7080628414237232,-0.7061494265344718
2414,2414,1720.486486098685,540.4713763389235,1,1.0048150952040538,0.7088030413192666,-0.7054064421427961
2415,2415,1721.191521717077,541.1805482340226,1,1.0069184502276005,0.7095401744509042,-0.704664984826251
2416,2416,1721.895816640937,541.8904557351979,1,1.0090197145772593,0.7102742563938044,-0.7039250533289949
2417,2417,1722.5993723954407,542.6010957990169,1,1.011118891873566,0.7110053026434286,-0.7031866463556645
2418,2418,1723.3021905044513,543.3124653975004,1,1.013215985737894,0.7117333286157749,-0.7024497625720358
2419,2419,1724.0042724904763,544.0245615180482,1,1.0153109997923035,0.7124583496476155,-0.7017144006056854
2420,2420,1724.705619874633,544.737381163356,1,1.017403937659416,0.7131803809967467,-0.7009805590466366
2421,2421,1725.4062341766114,545.4509213513364,1,1.0194948029622817,0.7138994378422394,-0.7002482364480004
2422,2422,1726.1061169146342,546.1651791150449,1,1.0215835993242366,0.7146155352846856,-0.6995174313266128
2423,2423,1726.8052696054228,546.8801515025976,1,1.0236703303687793,0.7153286883464574,-0.698788142163658
2424,2424,1727.503693764165,547.5958355770923,1,1.0257549997194513,0.7160389119719677,-0.6980603674052845
2425,2425,1728.2013909044758,548.3122284165332,1,1.0278376109996996,0.7167462210279266,-0.697334105463218
2426,2426,1728.8983625383644,549.0293271137532,1,1.0299181678327547,0.7174506303036066,-0.6966093547153653
2427,2427,1729.594610176202,549.7471287763352,1,1.0319966738415136,0.7181521545111096,-0.6958861135064066
2428,2428,1730.2901353266873,550.4656305265365,1,1.0340731326484116,0.7188508082856337,-0.6951643801483869
2429,2429,1730.984939496817,551.1848295012093,1,1.036147547875317,0.7195466061857486,-0.6944441529212922
2430,2430,1731.6790241918502,551.9047228517279,1,1.0382199231433973,0.720239562693663,-0.6937254300736287
2431,2431,1732.372390915278,552.6253077439114,1,1.0402902620730123,0.7209296922155033,-0.693008209822986
2432,2432,1733.0650411687966,553.3465813579446,1,1.0423585682836074,0.7216170090815932,-0.6922924903565948
2433,2433,1733.7569764522727,554.0685408883069,1,1.0444248453935923,0.7223015275467312,-0.6915782698318818
2434,2434,1734.4481982637153,554.7911835436946,1,1.0464890970202305,0.7229832617904708,-0.6908655463770151
2435,2435,1735.1387080992495,555.5145065469446,1,1.0485513267795445,0.7236622259174103,-0.690154318091439
2436,2436,1735.8285074530822,556.2385071349636,1,1.0506115382861871,0.7243384339574697,-0.6894445830464119
2437,2437,1736.517597817482,556.9631825586473,1,1.0526697351533645,0.7250118998661877,-0.6887363392855215
2438,2438,1737.2059806827433,557.6885300828139,1,1.0547259209927027,0.7256826375250014,-0.6880295848252147
2439,2439,1737.8936575371658,558.4145469861237,1,1.0567800994141703,0.726350660741544,-0.6873243176552993
2440,2440,1738.5806298670254,559.1412305610083,1,1.0588322740259648,0.727015983249932,-0.6866205357394537
2441,2441,1739.266899156549,559.868578113597,1,1.0608824484344208,0.727678618711063,-0.6859182370157243
2442,2442,1739.9524668878894,560.5965869636425,1,1.062930626243912,0.7283385807129079,-0.6852174193970164
2443,2443,1740.6373345410982,561.3252544444514,1,1.0649768110567455,0.7289958827708058,-0.6845180807715846
2444,2444,1741.3215035941037,562.0545779028082,1,1.0670210064730832,0.7296505383277649,-0.6838202190035059
