,arclength loc,x2D,y2D,tangentX,tangentY,normalX,normalY
62,62,244.67386695451103,1882.5723865755856,1,-4.328458875183808,0.9743356876068203,0.2250999063876852
63,63,244.8990167896783,1881.5980624243277,1,-4.326436784184674,0.9743126086794677,0.22519977923659387
64,64,245.12426654417834,1880.6237613681353,1,-4.32441455775637,0.9742894974640912,0.22529974507568498
65,65,245.3496163110705,1879.6494834393277,1,-4.322392195646703,0.9742663538977275,0.22539980404345536
66,66,245.57506618355265,1878.6752286702874,1,-4.320369697603102,0.9742431779172545,0.22549995627868485
67,67,245.80061625496205,1877.7009970934603,1,-4.318347063372668,0.9742199694593922,0.22560020192043517
68,68,246.02626661877483,1876.7267887413552,1,-4.3163242927021415,0.9741967284607009,0.2257005411080515
69,69,246.25201736860643,1875.752603646545,1,-4.314301385337894,0.9741734548575821,0.22580097398116408
70,70,246.47786859821252,1874.7784418416657,1,-4.312278341025983,0.9741501485862771,0.2259015006796862
71,71,246.70382040148837,1873.8043033594176,1,-4.310255159512069,0.9741268095828662,0.22600212134381847
72,72,246.92987287246999,1872.830188232565,1,-4.308231840541463,0.9741034377832694,0.22610283611404788
73,73,247.15602610533367,1871.8560964939359,1,-4.306208383859157,0.9740800331232451,0.22620364513114663
74,74,247.382280194397,1870.882028176423,1,-4.3041847892097405,0.9740565955383893,0.2263045485361767
75,75,247.60863523411828,1869.9079833129836,1,-4.302161056337478,0.9740331249641359,0.22640554647048736
76,76,247.8350913190979,1868.9339619366392,1,-4.300137184986253,0.9740096213357559,0.22650663907571814
77,77,248.0616485440776,1867.9599640804765,1,-4.298113174899611,0.9739860845883563,0.22660782649379754
78,78,248.28830700394127,1866.985989777647,1,-4.29608902582073,0.9739625146568812,0.2267091088669454
79,79,248.5150667937152,1866.0120390613674,1,-4.294064737492413,0.973938911476109,0.22681048633767362
80,80,248.74192800856835,1865.0381119649196,1,-4.292040309657122,0.9739152749806537,0.2269119590487855
81,81,248.96889074381275,1864.064208521651,1,-4.290015742056949,0.9738916051049639,0.22701352714337794
82,82,249.19595509490335,1863.0903287649746,1,-4.287991034433631,0.9738679017833218,0.22711519076484096
83,83,249.42312115743914,1862.1164727283697,1,-4.285966186528538,0.9738441649498439,0.22721695005685963
84,84,249.65038902716225,1861.1426404453807,1,-4.28394119808266,0.9738203945384782,0.22731880516341485
85,85,249.87775879995957,1860.1688319496188,1,-4.281916068836643,0.9737965904830067,0.2274207562287829
86,86,250.10523057186217,1859.1950472747612,1,-4.279890798530762,0.9737727527170421,0.22752280339753697
87,87,250.3328044390458,1858.2212864545518,1,-4.277865386904926,0.9737488811740294,0.22762494681454795
88,88,250.5604804978313,1857.2475495228007,1,-4.27583983369867,0.973724975787244,0.22772718662498553
